region,cluster
Алтайский край,1
Амурская область,1
Архангельская область без Ненецкого АО,1
Астраханская область,1
Белгородская область,0
Брянская область,1
Владимирская область,1
Волгоградская область,1
Вологодская область,1
Воронежская область,0
Еврейская автономная область,1
Забайкальский край,1
Ивановская область,1
Иркутская область,1
Кабардино-Балкарская Республика,3
Калининградская область,1
Калужская область,0
Камчатский край,1
Карачаево-Черкесская Республика,3
Кемеровская область,1
Кировская область,1
Костромская область,1
Краснодарский край,0
Красноярский край,1
Курганская область,1
Курская область,1
Ленинградская область,0
Липецкая область,0
Магаданская область,2
Москва,0
Московская область,0
Мурманская область,1
Ненецкий автономный округ,2
Нижегородская область,0
Новгородская область,1
Новосибирская область,1
Омская область,1
Оренбургская область,1
Орловская область,1
Пензенская область,1
Пермский край,1
Приморский край,1
Псковская область,1
Республика Адыгея,1
Республика Алтай,1
Республика Башкортостан,0
Республика Бурятия,1
Республика Дагестан,1
Республика Ингушетия,3
Республика Калмыкия,3
Республика Карелия,1
Республика Коми,1
Республика Крым,1
Республика Марий Эл,1
Республика Мордовия,1
Республика Саха (Якутия),1
Республика Северная Осетия-Алания,1
Республика Татарстан,0
Республика Тыва,3
Республика Хакасия,1
Ростовская область,1
Рязанская область,1
Самарская область,1
Санкт-Петербург,0
Саратовская область,1
Сахалинская область,2
Свердловская область,0
Севастополь,1
Смоленская область,1
Ставропольский край,1
Тамбовская область,1
Тверская область,1
Томская область,1
Тульская область,1
Тюменская область без округов,1
Удмуртская Республика,1
Ульяновская область,1
Хабаровский край,1
Ханты-Мансийский автономный округ - Югра,2
Челябинская область,1
Чеченская Республика,3
Чувашская Республика,1
Чукотский автономный округ,2
Ямало-Ненецкий автономный округ,2
Ярославская область,1
